FUZZ,url,redirectlocation,position,status_code,content_length,content_words,content_lines,content_type,duration,resultfile,Ffufhash
Agent N,http://10.10.148.56/index.php,,40,200,218,13,19,text/html; charset=UTF-8,207.151527ms,,9fb7a28
D,http://10.10.148.56/index.php,,4,200,218,13,19,text/html; charset=UTF-8,207.32901ms,,9fb7a4
Agent I,http://10.10.148.56/index.php,,35,200,218,13,19,text/html; charset=UTF-8,207.174601ms,,9fb7a23
T,http://10.10.148.56/index.php,,20,200,218,13,19,text/html; charset=UTF-8,211.054377ms,,9fb7a14
M,http://10.10.148.56/index.php,,13,200,218,13,19,text/html; charset=UTF-8,211.290761ms,,9fb7ad
C,http://10.10.148.56/index.php,agent_C_attention.php,3,302,218,13,19,text/html; charset=UTF-8,211.300127ms,,9fb7a3
S,http://10.10.148.56/index.php,,19,200,218,13,19,text/html; charset=UTF-8,211.326126ms,,9fb7a13
Agent E,http://10.10.148.56/index.php,,31,200,218,13,19,text/html; charset=UTF-8,213.000436ms,,9fb7a1f
P,http://10.10.148.56/index.php,,16,200,218,13,19,text/html; charset=UTF-8,213.425895ms,,9fb7a10
Agent C,http://10.10.148.56/index.php,,29,200,218,13,19,text/html; charset=UTF-8,213.766834ms,,9fb7a1d
F,http://10.10.148.56/index.php,,6,200,218,13,19,text/html; charset=UTF-8,213.321799ms,,9fb7a6
Z,http://10.10.148.56/index.php,,26,200,218,13,19,text/html; charset=UTF-8,213.774539ms,,9fb7a1a
K,http://10.10.148.56/index.php,,11,200,218,13,19,text/html; charset=UTF-8,215.598119ms,,9fb7ab
L,http://10.10.148.56/index.php,,12,200,218,13,19,text/html; charset=UTF-8,215.636921ms,,9fb7ac
U,http://10.10.148.56/index.php,,21,200,218,13,19,text/html; charset=UTF-8,215.647ms,,9fb7a15
Agent L,http://10.10.148.56/index.php,,38,200,218,13,19,text/html; charset=UTF-8,213.92952ms,,9fb7a26
B,http://10.10.148.56/index.php,,2,200,218,13,19,text/html; charset=UTF-8,215.64156ms,,9fb7a2
J,http://10.10.148.56/index.php,,10,200,218,13,19,text/html; charset=UTF-8,214.172715ms,,9fb7aa
G,http://10.10.148.56/index.php,,7,200,218,13,19,text/html; charset=UTF-8,219.319575ms,,9fb7a7
Agent G,http://10.10.148.56/index.php,,33,200,218,13,19,text/html; charset=UTF-8,219.843247ms,,9fb7a21
Agent K,http://10.10.148.56/index.php,,37,200,218,13,19,text/html; charset=UTF-8,219.694913ms,,9fb7a25
Agent J,http://10.10.148.56/index.php,,36,200,218,13,19,text/html; charset=UTF-8,218.392931ms,,9fb7a24
N,http://10.10.148.56/index.php,,14,200,218,13,19,text/html; charset=UTF-8,219.721037ms,,9fb7ae
Agent H,http://10.10.148.56/index.php,,34,200,218,13,19,text/html; charset=UTF-8,219.550091ms,,9fb7a22
X,http://10.10.148.56/index.php,,24,200,218,13,19,text/html; charset=UTF-8,218.724754ms,,9fb7a18
Agent X,http://10.10.148.56/index.php,,50,200,218,13,19,text/html; charset=UTF-8,209.526962ms,,9fb7a32
Agent V,http://10.10.148.56/index.php,,48,200,218,13,19,text/html; charset=UTF-8,211.381159ms,,9fb7a30
Agent O,http://10.10.148.56/index.php,,41,200,218,13,19,text/html; charset=UTF-8,219.035394ms,,9fb7a29
Agent R,http://10.10.148.56/index.php,,44,200,218,13,19,text/html; charset=UTF-8,215.590714ms,,9fb7a2c
Agent U,http://10.10.148.56/index.php,,47,200,218,13,19,text/html; charset=UTF-8,212.069821ms,,9fb7a2f
Agent P,http://10.10.148.56/index.php,,42,200,218,13,19,text/html; charset=UTF-8,215.344922ms,,9fb7a2a
Agent S,http://10.10.148.56/index.php,,45,200,218,13,19,text/html; charset=UTF-8,212.348744ms,,9fb7a2d
Agent T,http://10.10.148.56/index.php,,46,200,218,13,19,text/html; charset=UTF-8,215.13489ms,,9fb7a2e
Agent W,http://10.10.148.56/index.php,,49,200,218,13,19,text/html; charset=UTF-8,211.324503ms,,9fb7a31
Agent Y,http://10.10.148.56/index.php,,51,200,218,13,19,text/html; charset=UTF-8,214.422343ms,,9fb7a33
Agent Q,http://10.10.148.56/index.php,,43,200,218,13,19,text/html; charset=UTF-8,218.182955ms,,9fb7a2b
Agent Z,http://10.10.148.56/index.php,,52,200,218,13,19,text/html; charset=UTF-8,213.836585ms,,9fb7a34
Agent A,http://10.10.148.56/index.php,,27,200,218,13,19,text/html; charset=UTF-8,1.123730767s,,9fb7a1b
I,http://10.10.148.56/index.php,,9,200,218,13,19,text/html; charset=UTF-8,2.125109973s,,9fb7a9
Agent F,http://10.10.148.56/index.php,,32,200,218,13,19,text/html; charset=UTF-8,2.127687898s,,9fb7a20
Y,http://10.10.148.56/index.php,,25,200,218,13,19,text/html; charset=UTF-8,3.129851689s,,9fb7a19
O,http://10.10.148.56/index.php,,15,200,218,13,19,text/html; charset=UTF-8,3.13160685s,,9fb7af
A,http://10.10.148.56/index.php,,1,200,218,13,19,text/html; charset=UTF-8,3.131760469s,,9fb7a1
V,http://10.10.148.56/index.php,,22,200,218,13,19,text/html; charset=UTF-8,3.131069603s,,9fb7a16
H,http://10.10.148.56/index.php,,8,200,218,13,19,text/html; charset=UTF-8,4.136317221s,,9fb7a8
R,http://10.10.148.56/index.php,,18,200,310,31,19,text/html; charset=UTF-8,4.136294679s,,9fb7a12
Agent M,http://10.10.148.56/index.php,,39,200,218,13,19,text/html; charset=UTF-8,4.136097238s,,9fb7a27
E,http://10.10.148.56/index.php,,5,200,218,13,19,text/html; charset=UTF-8,4.13663143s,,9fb7a5
W,http://10.10.148.56/index.php,,23,200,218,13,19,text/html; charset=UTF-8,4.13975562s,,9fb7a17
Agent D,http://10.10.148.56/index.php,,30,200,218,13,19,text/html; charset=UTF-8,4.138981217s,,9fb7a1e
Agent B,http://10.10.148.56/index.php,,28,200,218,13,19,text/html; charset=UTF-8,4.142546623s,,9fb7a1c
